NOMCODE,PACFIN_SPECIES_CODE
ARR1,ARRA
ART1,ARTH
BLU1,BLUR
BRW1,BRWN
CBZ1,CBZN
CHL1,CHLB
CHN1,CHNA
CLP1,CLPR
CNR1,CNRY
COP1,COPP
CWC1,CWCD
DVR1,DOVR
EGL1,EGLS
LCD1,LCOD
LSP1,LSPN
OLV1,OLVE
POP1,POP
PTR1,PTRL
REX1,REX
RST1,RSTN
SDB1,SDAB
SNS1,SNOS
SSO1,SSOL
SSP1,SSPN
TGR1,TIGR
TRE1,TREE
VRM1,VRML
WDW1,WDOW
YEY1,YEYE
YTR1,YTRK
RSL1,RSOL
SCR1,SCOR
SFL1,STRY
BCC1,BCAC
BNK1,BANK
BGL1,BLGL
BLK1,BLCK
SBL1,SBLY
PDB1,PDAB
KGL1,KLPG
SHP1,SHPD
FLG1,FLAG
DBR1,DBRK
QLB1,QLBK
GSR1,GSRK
STL1,STRK
BSK1,BSKT
SPK1,SPKL
RBR1,REYE
GRS1,GSRK
ROS1,ROSY
LDB1,LDAB
REY1,REYE
PNK1,PNKR
GBL1,GBLC
SWS1,SWRD
SPK1,SPKL
BYL1,BYEL
BMO1,BMOL
HNY1,HNYC
SQR1,SQRS
KLP1,KLPR
MXR1,MEX
BRZ1,BRNZ
